"Category Page","Category Page"
"Product Page","Product Page"
Cart,Cart
"Show in content top as message","Show in content top as message"
"Show in sidebar as block","Show in sidebar as block"
"Free Shipping delivery method disabled","Free Shipping delivery method disabled"
"Free Shipping delivery method minimum order amount cannot be empty or zero","Free Shipping delivery method minimum order amount cannot be empty or zero"
"Free Shipping Remaining Cost","Free Shipping Remaining Cost"
"Space Extensions","Space Extensions"
Configuration,Configuration
"Enable Extension","Enable Extension"
"Common Settings","Common Settings"
"Use built-in free shipping method amount","Use built-in free shipping method amount"
"Enable to use Magento free shipping method amount. Note: the free shipping method has to be enabled and set.","Enable to use Magento free shipping method amount. Note: the free shipping method has to be enabled and set."
"Custom Amount","Custom Amount"
"Custom amount for free shipping calculation.","Custom amount for free shipping calculation."
"Show if Cart is Empty","Show if Cart is Empty"
"Enable to show free shipping information text if the cart is empty.","Enable to show free shipping information text if the cart is empty."
Display,Display
"Block Title","Block Title"
"The title of the sidebar's free shipping notification block.","The title of the sidebar's free shipping notification block."
"Notification Text","Notification Text"
"The notification text which will be displayed. Please note that the ""%s"" will be replaced with the price, so you have to add it in the proper place within the text. You can use HTML tags also.","The notification text which will be displayed. Please note that the ""%s"" will be replaced with the price, so you have to add it in the proper place within the text. You can use HTML tags also."
"Show Success Message","Show Success Message"
"Enable to show the success message.","Enable to show the success message."
"Success Message","Success Message"
"The success message if free shipping is available.","The success message if free shipping is available."
Pages,Pages
"<strong>Note: You can customize the extension's position by using Widget.</strong>","<strong>Note: You can customize the extension's position by using Widget.</strong>"
"Pages to Show notification","Pages to Show notification"
"Please select pages.","Please select pages."
"Category Page Position","Category Page Position"
"Free shipping remaining cost widget","Free shipping remaining cost widget"
"Show Block Title","Show Block Title"
Template,Template
"Message Template","Message Template"
